Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Afghanistan,AFG,64.486
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,78.458
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Algeria,DZA,76.693
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,American Samoa,ASM,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,AND,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Angola,AGO,60.782
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Antigua and Barbuda,ATG,76.885
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,76.52
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,74.945
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Aruba,ABW,76.152
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Australia,AUS,82.7487804878049
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Austria,AUT,81.6439024390244
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Azerbaijan,AZE,72.864
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Bahamas, The",BHS,73.752
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bahrain,BHR,77.163
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bangladesh,BGD,72.32
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Barbados,BRB,79.081
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belarus,BLR,74.1756097560976
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belgium,BEL,81.5951219512195
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belize,BLZ,74.496
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Benin,BEN,61.47
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bermuda,BMU,81.6517073170732
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bhutan,BTN,71.46
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bolivia,BOL,71.239
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bosnia and Herzegovina,BIH,77.262
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Botswana,BWA,69.275
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brazil,BRA,75.672
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,British Virgin Islands,VGB,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brunei Darussalam,BRN,75.722
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bulgaria,BGR,74.8658536585366
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burkina Faso,BFA,61.174
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burundi,BDI,61.247
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cabo Verde,CPV,72.782
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cambodia,KHM,69.57
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cameroon,CMR,58.921
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Canada,CAN,81.9487804878049
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cayman Islands,CYM,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Central African Republic,CAF,52.805
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chad,TCD,53.977
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Channel Islands,CHI,82.928
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chile,CHL,80.042
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,China,CHN,76.704
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Colombia,COL,77.109
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Comoros,COM,64.118
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Dem. Rep.",COD,60.368
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Rep.",COG,64.29
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Costa Rica,CRI,80.095
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cote d'Ivoire,CIV,57.422
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Croatia,HRV,78.0707317073171
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cuba,CUB,78.726
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Curacao,CUW,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cyprus,CYP,80.828
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Czech Republic,CZE,78.9780487804878
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Denmark,DNK,81.3512195121951
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Djibouti,DJI,66.582
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominica,DMA,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominican Republic,DOM,73.892
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ecuador,ECU,76.8
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Egypt, Arab Rep.",EGY,71.825
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,El Salvador,SLV,73.096
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Equatorial Guinea,GNQ,58.402
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eritrea,ERI,65.941
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Estonia,EST,78.5439024390244
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eswatini,SWZ,59.401
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ethiopia,ETH,66.24
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Faroe Islands,FRO,82.5487804878049
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Fiji,FJI,67.341
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Finland,FIN,81.8341463414634
